layer,raw_agree,tuned_agree
0,0.0073,0.1919
1,0.0059,0.2036
2,0.0034,0.2197
3,0.0044,0.2344
4,0.0044,0.2397
5,0.0039,0.2563
6,0.0059,0.271
7,0.0059,0.2695
8,0.0059,0.2588
9,0.0068,0.2656
10,0.0107,0.2505
11,0.0156,0.2563
12,0.021,0.2515
13,0.0288,0.2539
14,0.0381,0.2549
15,0.0811,0.2197
16,0.1289,0.2866
17,0.1748,0.3057
18,0.207,0.2617
19,0.2393,0.2363
20,0.2959,0.4033
21,0.3394,0.3633
22,0.3911,0.4009
23,0.4658,0.4165
24,0.4839,0.4702
25,0.5166,0.522
26,0.5273,0.5576
27,0.5474,0.5059
28,0.5547,0.5645
29,0.6167,0.5635
30,0.6445,0.5215
31,0.7207,0.5664
32,0.8345,0.5298
33,1.0,0.502
